target.x;target.y;delta.x;delta.y
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;4;5;on
518;512;5;5;on
518;512;6;5;on
518;512;5;5;on
518;512;5;6;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;4;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
518;512;5;5;on
